CustomerID,TotalSpend,NumOrders,AvgOrderValue,RecencyDays
12346.0,0.0,2,0.0,325
12347.0,4310.0,7,615.7142857142857,1
12348.0,1797.24,4,449.31,74
12349.0,1757.55,1,1757.55,18
12350.0,334.4,1,334.4,309
12352.0,1545.41,11,140.4918181818182,35
12353.0,89.0,1,89.0,203
12354.0,1079.4,1,1079.4,231
12355.0,459.4,1,459.4,213
12356.0,2811.43,3,937.1433333333333,22
12357.0,6207.67,1,6207.67,32
12358.0,1168.06,2,584.03,1
12359.0,6245.53,6,1040.9216666666666,7
12360.0,2662.06,3,887.3533333333334,51
12361.0,189.9,1,189.9,286
12362.0,5154.58,13,396.50615384615384,2
12363.0,552.0,2,276.0,109
12364.0,1313.1,4,328.275,7
12365.0,320.69,3,106.89666666666666,290
12367.0,168.9,1,168.9,3
12370.0,3545.69,4,886.4225,50
12371.0,1887.96,2,943.98,44
12372.0,1298.04,3,432.68,71
12373.0,364.6,1,364.6,310
12374.0,742.9300000000001,1,742.9300000000001,24
12375.0,455.42,3,151.80666666666667,2
12377.0,1628.12,2,814.06,314
12378.0,4008.62,1,4008.62,129
12379.0,850.29,3,283.43,81
12380.0,2720.56,5,544.112,21
12381.0,1803.96,6,300.66,4
12383.0,1839.31,6,306.5516666666667,184
12384.0,566.16,3,188.72,28
12386.0,401.9,2,200.95,337
12388.0,2780.66,6,463.4433333333333,15
12390.0,549.84,1,549.84,79
12391.0,460.89,1,460.89,21
12393.0,1582.6000000000001,4,395.65000000000003,71
12394.0,1272.48,2,636.24,63
12395.0,2998.28,15,199.88533333333334,15
12397.0,2409.9,2,1204.95,35
12398.0,1635.6599999999999,1,1635.6599999999999,45
12399.0,1108.65,4,277.1625,118
12401.0,84.3,1,84.3,302
12402.0,225.6,1,225.6,322
12403.0,409.7,2,204.85,49
12405.0,1710.39,1,1710.39,148
12406.0,3280.75,3,1093.5833333333333,21
12407.0,1708.1200000000001,5,341.624,49
12408.0,2842.57,9,315.8411111111111,32
12409.0,11056.93,7,1579.5614285714287,78
12410.0,681.0799999999999,3,227.02666666666664,300
12412.0,1226.88,3,408.96000000000004,74
12413.0,694.15,5,138.82999999999998,66
12414.0,562.41,3,187.47,216
12415.0,123725.45,26,4758.671153846154,23
12417.0,3578.8,12,298.23333333333335,2
12418.0,668.58,1,668.58,112
12420.0,600.39,1,600.39,63
12421.0,806.27,5,161.254,15
12422.0,803.5600000000001,3,267.85333333333335,95
12423.0,1849.11,9,205.45666666666665,0
12424.0,1760.96,2,880.48,162
12425.0,777.2,1,777.2,77
12426.0,582.73,1,582.73,194
12427.0,708.37,5,141.674,11
12428.0,7877.2,12,656.4333333333333,25
12429.0,3750.4,4,937.6,8
12430.0,256.4,1,256.4,42
12431.0,6416.39,18,356.4661111111111,35
12432.0,5059.32,5,1011.8639999999999,42
12433.0,13375.87,7,1910.8385714285716,0
12434.0,765.19,4,191.2975,84
12435.0,7829.89,2,3914.945,79
12436.0,509.01,1,509.01,99
12437.0,4896.66,19,257.718947368421,1
12438.0,2906.85,2,1453.425,13
12441.0,173.55,1,173.55,366
12442.0,172.06,1,172.06,2
12444.0,5005.46,5,1001.092,20
12445.0,133.4,1,133.4,21
12446.0,1002.3100000000001,1,1002.3100000000001,57
12447.0,476.49,1,476.49,242
12448.0,449.45,1,449.45,43
12449.0,4067.29,4,1016.8225,21
12450.0,197.88,2,98.94,155
12451.0,8933.52,6,1488.92,10
12452.0,428.57,3,142.85666666666665,16
12453.0,707.09,1,707.09,133
12454.0,5.684341886080802e-14,2,2.842170943040401e-14,52
12455.0,2466.86,6,411.1433333333334,72
12456.0,3153.89,4,788.4725,43
12457.0,1917.78,12,159.815,57
12458.0,947.4,2,473.7,70
12461.0,826.88,2,413.44,93
12462.0,1124.01,4,281.0025,1
12463.0,1303.63,7,186.23285714285717,45
12464.0,1212.05,8,151.50625,9
12465.0,733.89,3,244.63,7
12468.0,724.0400000000001,3,241.3466666666667,142
12471.0,18740.92,49,382.46775510204077,1
12472.0,6229.48,13,479.1907692307692,30
12473.0,2848.23,9,316.47,28
12474.0,7116.47,30,237.21566666666666,16
12475.0,723.38,1,723.38,53
12476.0,6546.58,20,327.329,0
12477.0,13117.01,9,1457.4455555555555,22
12478.0,680.99,1,680.99,3
12479.0,477.3,3,159.1,3
12480.0,3281.63,4,820.4075,27
12481.0,5590.86,11,508.26,22
12483.0,2327.13,13,179.01000000000002,16
12484.0,4495.27,8,561.90875,32
12488.0,1298.66,3,432.8866666666667,9
12489.0,334.93,1,334.93,335
12490.0,5417.93,10,541.793,4
12491.0,460.40000000000003,1,460.40000000000003,38
12492.0,263.21000000000004,2,131.60500000000002,62
12493.0,416.79,3,138.93,165
12494.0,1139.3500000000001,13,87.6423076923077,9
12497.0,1043.1,1,1043.1,81
12498.0,403.70000000000005,3,134.5666666666667,20
12500.0,4206.27,13,323.5592307692308,22
12501.0,2089.68,2,1044.84,314
12502.0,3723.87,5,744.774,95
12503.0,-1126.0,1,-1126.0,337
12504.0,114.0,4,28.5,17
12505.0,-4.5,1,-4.5,300
12506.0,73.5,1,73.5,232
12507.0,1258.06,4,314.515,133
12508.0,398.27,2,199.135,25
12509.0,176.5,1,176.5,283
12510.0,982.5699999999999,2,491.28499999999997,142
12512.0,138.03,2,69.015,65
12513.0,586.79,2,293.395,84
12514.0,1017.68,1,1017.68,266
12515.0,383.7,1,383.7,352
12516.0,1312.06,2,656.03,77
12517.0,2464.89,6,410.815,27
12518.0,2056.89,5,411.378,0
12519.0,340.84,1,340.84,63
12520.0,2582.51,6,430.41833333333335,78
12521.0,599.68,1,599.68,142
12522.0,192.72,2,96.36,38
12523.0,1745.57,13,134.27461538461537,1
12524.0,4485.72,8,560.715,8
12526.0,1316.66,3,438.8866666666667,0
12527.0,348.71000000000004,3,116.23666666666668,81
12528.0,1922.28,8,240.285,8
12530.0,1623.63,5,324.726,59
12531.0,125.22,1,125.22,14
12532.0,349.83000000000004,1,349.83000000000004,29
12534.0,1089.18,1,1089.18,130
12535.0,716.35,2,358.175,91
12536.0,4106.82,5,821.3639999999999,7
12538.0,363.95,1,363.95,28
12539.0,3852.5,5,770.5,21
12540.0,13309.039999999999,19,700.4757894736841,19
12541.0,981.18,3,327.06,29
12544.0,355.7,2,177.85,29
12545.0,1000.39,2,500.195,74
12546.0,1141.5,3,380.5,46
12547.0,207.79999999999998,2,103.89999999999999,197
12548.0,95.19999999999999,1,95.19999999999999,165
12550.0,964.83,1,964.83,78
12551.0,168.0,1,168.0,357
12552.0,437.82,2,218.91,38
12553.0,3652.25,14,260.875,7
12556.0,603.71,2,301.855,49
12557.0,11990.960000000001,5,2398.192,15
12558.0,1.0658141036401503e-14,2,5.329070518200751e-15,1
12559.0,536.21,3,178.73666666666668,310
12560.0,2101.39,4,525.3475,4
12561.0,238.85,1,238.85,302
12562.0,3781.7400000000002,7,540.2485714285715,7
12564.0,456.9,1,456.9,260
12565.0,131.17,2,65.585,281
12566.0,346.7,2,173.35,72
12567.0,9114.94,11,828.6309090909091,22
