CustomerID,TotalSpend,NumOrders,AvgOrderValue,RecencyDays,Cluster
12346.0,0.0,2,0.0,325,1
12347.0,4310.0,7,615.7142857142857,1,0
12348.0,1797.24,4,449.31,74,0
12349.0,1757.55,1,1757.55,18,0
12350.0,334.4,1,334.4,309,1
12352.0,1545.41,11,140.4918181818182,35,0
12353.0,89.0,1,89.0,203,1
12354.0,1079.4,1,1079.4,231,1
12355.0,459.4,1,459.4,213,1
12356.0,2811.43,3,937.1433333333333,22,0
12357.0,6207.67,1,6207.67,32,0
12358.0,1168.06,2,584.03,1,0
12359.0,6245.53,6,1040.9216666666666,7,0
12360.0,2662.06,3,887.3533333333334,51,0
12361.0,189.9,1,189.9,286,1
12362.0,5154.58,13,396.50615384615384,2,0
12363.0,552.0,2,276.0,109,0
12364.0,1313.1,4,328.275,7,0
12365.0,320.69,3,106.89666666666666,290,1
12367.0,168.9,1,168.9,3,0
12370.0,3545.69,4,886.4225,50,0
12371.0,1887.96,2,943.98,44,0
12372.0,1298.04,3,432.68,71,0
12373.0,364.6,1,364.6,310,1
12374.0,742.9300000000001,1,742.9300000000001,24,0
12375.0,455.42,3,151.80666666666667,2,0
12377.0,1628.12,2,814.06,314,1
12378.0,4008.62,1,4008.62,129,0
12379.0,850.29,3,283.43,81,0
12380.0,2720.56,5,544.112,21,0
12381.0,1803.96,6,300.66,4,0
12383.0,1839.31,6,306.5516666666667,184,1
12384.0,566.16,3,188.72,28,0
12386.0,401.9,2,200.95,337,1
12388.0,2780.66,6,463.4433333333333,15,0
12390.0,549.84,1,549.84,79,0
12391.0,460.89,1,460.89,21,0
12393.0,1582.6000000000001,4,395.65000000000003,71,0
12394.0,1272.48,2,636.24,63,0
12395.0,2998.28,15,199.88533333333334,15,0
12397.0,2409.9,2,1204.95,35,0
12398.0,1635.6599999999999,1,1635.6599999999999,45,0
12399.0,1108.65,4,277.1625,118,0
12401.0,84.3,1,84.3,302,1
12402.0,225.6,1,225.6,322,1
12403.0,409.7,2,204.85,49,0
12405.0,1710.39,1,1710.39,148,0
12406.0,3280.75,3,1093.5833333333333,21,0
12407.0,1708.1200000000001,5,341.624,49,0
12408.0,2842.57,9,315.8411111111111,32,0
12409.0,11056.93,7,1579.5614285714287,78,0
12410.0,681.0799999999999,3,227.02666666666664,300,1
12412.0,1226.88,3,408.96000000000004,74,0
12413.0,694.15,5,138.82999999999998,66,0
12414.0,562.41,3,187.47,216,1
12415.0,123725.45,26,4758.671153846154,23,2
12417.0,3578.8,12,298.23333333333335,2,0
12418.0,668.58,1,668.58,112,0
12420.0,600.39,1,600.39,63,0
12421.0,806.27,5,161.254,15,0
12422.0,803.5600000000001,3,267.85333333333335,95,0
12423.0,1849.11,9,205.45666666666665,0,0
12424.0,1760.96,2,880.48,162,1
12425.0,777.2,1,777.2,77,0
12426.0,582.73,1,582.73,194,1
12427.0,708.37,5,141.674,11,0
12428.0,7877.2,12,656.4333333333333,25,0
12429.0,3750.4,4,937.6,8,0
12430.0,256.4,1,256.4,42,0
12431.0,6416.39,18,356.4661111111111,35,0
12432.0,5059.32,5,1011.8639999999999,42,0
12433.0,13375.87,7,1910.8385714285716,0,0
12434.0,765.19,4,191.2975,84,0
12435.0,7829.89,2,3914.945,79,0
12436.0,509.01,1,509.01,99,0
12437.0,4896.66,19,257.718947368421,1,0
12438.0,2906.85,2,1453.425,13,0
12441.0,173.55,1,173.55,366,1
12442.0,172.06,1,172.06,2,0
12444.0,5005.46,5,1001.092,20,0
12445.0,133.4,1,133.4,21,0
12446.0,1002.3100000000001,1,1002.3100000000001,57,0
12447.0,476.49,1,476.49,242,1
12448.0,449.45,1,449.45,43,0
12449.0,4067.29,4,1016.8225,21,0
12450.0,197.88,2,98.94,155,1
